HR,HSS,2AFC,LEPS
Excelente,"Excelente, mucho más hábil que el azar",Más hábil que el azar,"Excelente, mucho más hábil que la climatología"
Muy Bueno,"Bueno, más hábil que el azar",Igual de hábil que el azar,"Bueno, más hábil que la climatología"
Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar,"Regular, igual de hábil que la climatología"
Regular,"Malo, menos hábil que el azar",,"Malo, menos hábil que la climatología"
Malo,"Pésimo, peor que el azar",,"Pésimo, peor que la climatología"
Pésimo,,,
