date,date,score_NextGen_monthly,score_NextGen_monthly,score_NextGen_monthly,interpretation_NextGen_monthly,interpretation_NextGen_monthly,interpretation_NextGen_monthly,start,start,end,end,score_NextGen_seasonal,score_NextGen_seasonal,score_NextGen_seasonal,interpretation_NextGen_seasonal,interpretation_NextGen_seasonal,interpretation_NextGen_seasonal
year,month,HR,HSS,2AFC,HR,HSS,2AFC,year,month,year,month,HR,HSS,2AFC,HR,HSS,2AFC
2021,1,29.545454545454547,-5.90062111801242,52.31481481481482,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar,2021,1,2021,3,39.583333333333336,-3.4175334323922693,39.64028776978417,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2021,2,26.31578947368421,-11.413612565445025,37.9454926624738,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar,2021,2,2021,4,44.680851063829785,9.88200589970501,44.72817133443163,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar
2021,3,47.36842105263158,17.83783783783784,49.68017057569296,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar,2021,3,2021,5,45.833333333333336,8.971553610503282,50.14430014430015,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,4,34.78260869565217,-2.6785714285714346,54.642857142857146,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar,2021,4,2021,6,43.75,13.368983957219257,58.51351351351352,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,5,47.91666666666666,19.08293998651382,50.13245033112583,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2021,5,2021,7,41.66666666666666,12.613784135240572,53.84105960264901,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,6,39.583333333333336,9.727626459143968,54.05759162303665,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2021,6,2021,8,35.416666666666664,-1.2244897959183674,49.241379310344826,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2021,7,29.166666666666668,-1.492537313432836,52.55681818181818,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar,2021,7,2021,9,39.583333333333336,4.395604395604392,51.60213618157543,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,8,46.80851063829788,14.42097596504006,57.99632352941177,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2021,8,2021,10,37.5,4.0,45.23121387283237,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar
2021,9,36.17021276595744,7.053394858272906,52.66853932584269,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2021,9,2021,11,37.5,10.447761194029852,54.61538461538461,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,10,29.166666666666668,0.5484460694698354,44.19889502762431,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar,2021,10,2021,12,37.5,0.8264462809917356,39.42307692307692,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar
2021,11,30.952380952380956,-3.395585738539898,46.57293497363796,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar,2021,11,2022,1,31.11111111111111,-4.104477611940296,44.43620178041543,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2021,12,50.0,21.46739130434782,60.985915492957744,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2021,12,2022,2,36.36363636363637,-9.6085409252669,46.96691176470589,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2022,1,33.333333333333336,3.520456707897241,58.29145728643216,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2022,1,2022,3,33.333333333333336,-12.78195488721804,41.93811074918567,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2022,2,23.529411764705884,-18.498659517426272,33.78378378378378,Regular,"Malo, menos hábil que el azar",Menos hábil que el azar,2022,2,2022,4,31.91489361702128,-2.173913043478258,46.6012084592145,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2022,3,35.8974358974359,0.5102040816326513,47.216699801192846,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar,2022,3,2022,5,31.91489361702128,-6.364922206506369,46.17940199335549,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2022,4,44.680851063829785,12.33859397417504,54.538904899135446,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2022,4,2022,6,38.297872340425535,3.058321479374115,57.468879668049794,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,5,36.95652173913044,4.372759856630822,52.42326332794831,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2022,5,2022,7,47.82608695652174,8.835672997522705,53.30275229357798,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,6,39.130434782608695,5.641025641025644,52.35294117647059,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,2022,6,2022,8,40.42553191489362,-1.386748844375969,54.11214953271028,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar
